-1	BC1:OA	BC2:AA	BC3:AA	BP1:UU	BP2:UU	BQ1:UOA	BQ2:UAA	BQ3:UOA	BQ4:UAA	BW1:B1L	BW2:Li	BW3:it	TC1:OOA	TC2:OAA	TC3:AAA	TC4:AAA	TQ1:UOOA	TQ2:UOAA	TQ3:UOOA	TQ4:UOAA	TW1:B2B1L	TW2:B1Li	TW3:Lit	TW4:its	UC1:O	UC2:O	UC3:A	UC4:A	UC5:A	UC6:A	UP1:U	UP2:U	UP3:U	UQ1:UO	UQ2:UO	UQ3:UA	UW1:B2	UW2:B1	UW3:L	UW4:i	UW5:t	UW6:s
-1	BC1:AA	BC2:AA	BC3:AA	BP1:UU	BP2:UO	BQ1:UAA	BQ2:UAA	BQ3:OAA	BQ4:OAA	BW1:Li	BW2:it	BW3:ts	TC1:OAA	TC2:AAA	TC3:AAA	TC4:AAA	TQ1:UOAA	TQ2:UAAA	TQ3:OOAA	TQ4:OAAA	TW1:B1Li	TW2:Lit	TW3:its	TW4:tse	UC1:O	UC2:A	UC3:A	UC4:A	UC5:A	UC6:A	UP1:U	UP2:U	UP3:O	UQ1:UO	UQ2:UA	UQ3:OA	UW1:B1	UW2:L	UW3:i	UW4:t	UW5:s	UW6:e
-1	BC1:AA	BC2:AA	BC3:AA	BP1:UO	BP2:OO	BQ1:OAA	BQ2:OAA	BQ3:OAA	BQ4:OAA	BW1:it	BW2:ts	BW3:se	TC1:AAA	TC2:AAA	TC3:AAA	TC4:AAA	TQ1:OAAA	TQ2:OAAA	TQ3:OAAA	TQ4:OAAA	TW1:Lit	TW2:its	TW3:tse	TW4:sea	UC1:A	UC2:A	UC3:A	UC4:A	UC5:A	UC6:A	UP1:U	UP2:O	UP3:O	UQ1:UA	UQ2:OA	UQ3:OA	UW1:L	UW2:i	UW3:t	UW4:s	UW5:e	UW6:a
-1	BC1:AA	BC2:AA	BC3:AA	BP1:OO	BP2:OO	BQ1:OAA	BQ2:OAA	BQ3:OAA	BQ4:OAA	BW1:ts	BW2:se	BW3:ea	TC1:AAA	TC2:AAA	TC3:AAA	TC4:AAI	TQ1:OAAA	TQ2:OAAA	TQ3:OAAA	TQ4:OAAA	TW1:its	TW2:tse	TW3:sea	TW4:eaは	UC1:A	UC2:A	UC3:A	UC4:A	UC5:A	UC6:I	UP1:O	UP2:O	UP3:O	UQ1:OA	UQ2:OA	UQ3:OA	UW1:i	UW2:t	UW3:s	UW4:e	UW5:a	UW6:は
-1	BC1:AA	BC2:AA	BC3:AI	BP1:OO	BP2:OO	BQ1:OAA	BQ2:OAA	BQ3:OAA	BQ4:OAA	BW1:se	BW2:ea	BW3:aは	TC1:AAA	TC2:AAA	TC3:AAI	TC4:AIA	TQ1:OAAA	TQ2:OAAA	TQ3:OAAA	TQ4:OAAA	TW1:tse	TW2:sea	TW3:eaは	TW4:aはT	UC1:A	UC2:A	UC3:A	UC4:A	UC5:I	UC6:A	UP1:O	UP2:O	UP3:O	UQ1:OA	UQ2:OA	UQ3:OA	UW1:t	UW2:s	UW3:e	UW4:a	UW5:は	UW6:T
1	BC1:AA	BC2:AI	BC3:IA	BP1:OO	BP2:OO	BQ1:OAA	BQ2:OAI	BQ3:OAA	BQ4:OAI	BW1:ea	BW2:aは	BW3:はT	TC1:AAA	TC2:AAI	TC3:AIA	TC4:IAA	TQ1:OAAA	TQ2:OAAI	TQ3:OAAA	TQ4:OAAI	TW1:sea	TW2:eaは	TW3:aはT	TW4:はTi	UC1:A	UC2:A	UC3:A	UC4:I	UC5:A	UC6:A	UP1:O	UP2:O	UP3:O	UQ1:OA	UQ2:OA	UQ3:OA	UW1:s	UW2:e	UW3:a	UW4:は	UW5:T	UW6:i
1	BC1:AI	BC2:IA	BC3:AA	BP1:OO	BP2:OB	BQ1:OAI	BQ2:OIA	BQ3:BAI	BQ4:BIA	BW1:aは	BW2:はT	BW3:Ti	TC1:AAI	TC2:AIA	TC3:IAA	TC4:AAA	TQ1:OAAI	TQ2:OAIA	TQ3:BAAI	TQ4:BAIA	TW1:eaは	TW2:aはT	TW3:はTi	TW4:Tin	UC1:A	UC2:A	UC3:I	UC4:A	UC5:A	UC6:A	UP1:O	UP2:O	UP3:B	UQ1:OA	UQ2:OA	UQ3:BI	UW1:e	UW2:a	UW3:は	UW4:T	UW5:i	UW6:n
-1	BC1:IA	BC2:AA	BC3:AA	BP1:OB	BP2:BB	BQ1:BIA	BQ2:BAA	BQ3:BIA	BQ4:BAA	BW1:はT	BW2:Ti	BW3:in	TC1:AIA	TC2:IAA	TC3:AAA	TC4:AAA	TQ1:BAIA	TQ2:BIAA	TQ3:BAIA	TQ4:BIAA	TW1:aはT	TW2:はTi	TW3:Tin	TW4:iny	UC1:A	UC2:I	UC3:A	UC4:A	UC5:A	UC6:A	UP1:O	UP2:B	UP3:B	UQ1:OA	UQ2:BI	UQ3:BA	UW1:a	UW2:は	UW3:T	UW4:i	UW5:n	UW6:y
-1	BC1:AA	BC2:AA	BC3:AA	BP1:BB	BP2:BO	BQ1:BAA	BQ2:BAA	BQ3:OAA	BQ4:OAA	BW1:Ti	BW2:in	BW3:ny	TC1:IAA	TC2:AAA	TC3:AAA	TC4:AAA	TQ1:BIAA	TQ2:BAAA	TQ3:OIAA	TQ4:OAAA	TW1:はTi	TW2:Tin	TW3:iny	TW4:nyS	UC1:I	UC2:A	UC3:A	UC4:A	UC5:A	UC6:A	UP1:B	UP2:B	UP3:O	UQ1:BI	UQ2:BA	UQ3:OA	UW1:は	UW2:T	UW3:i	UW4:n	UW5:y	UW6:S
-1	BC1:AA	BC2:AA	BC3:AA	BP1:BO	BP2:OO	BQ1:OAA	BQ2:OAA	BQ3:OAA	BQ4:OAA	BW1:in	BW2:ny	BW3:yS	TC1:AAA	TC2:AAA	TC3:AAA	TC4:AAA	TQ1:OAAA	TQ2:OAAA	TQ3:OAAA	TQ4:OAAA	TW1:Tin	TW2:iny	TW3:nyS	TW4:ySe	UC1:A	UC2:A	UC3:A	UC4:A	UC5:A	UC6:A	UP1:B	UP2:O	UP3:O	UQ1:BA	UQ2:OA	UQ3:OA	UW1:T	UW2:i	UW3:n	UW4:y	UW5:S	UW6:e
-1	BC1:AA	BC2:AA	BC3:AA	BP1:OO	BP2:OO	BQ1:OAA	BQ2:OAA	BQ3:OAA	BQ4:OAA	BW1:ny	BW2:yS	BW3:Se	TC1:AAA	TC2:AAA	TC3:AAA	TC4:AAA	TQ1:OAAA	TQ2:OAAA	TQ3:OAAA	TQ4:OAAA	TW1:iny	TW2:nyS	TW3:ySe	TW4:Seg	UC1:A	UC2:A	UC3:A	UC4:A	UC5:A	UC6:A	UP1:O	UP2:O	UP3:O	UQ1:OA	UQ2:OA	UQ3:OA	UW1:i	UW2:n	UW3:y	UW4:S	UW5:e	UW6:g
-1	BC1:AA	BC2:AA	BC3:AA	BP1:OO	BP2:OO	BQ1:OAA	BQ2:OAA	BQ3:OAA	BQ4:OAA	BW1:yS	BW2:Se	BW3:eg	TC1:AAA	TC2:AAA	TC3:AAA	TC4:AAA	TQ1:OAAA	TQ2:OAAA	TQ3:OAAA	TQ4:OAAA	TW1:nyS	TW2:ySe	TW3:Seg	TW4:egm	UC1:A	UC2:A	UC3:A	UC4:A	UC5:A	UC6:A	UP1:O	UP2:O	UP3:O	UQ1:OA	UQ2:OA	UQ3:OA	UW1:n	UW2:y	UW3:S	UW4:e	UW5:g	UW6:m
-1	BC1:AA	BC2:AA	BC3:AA	BP1:OO	BP2:OO	BQ1:OAA	BQ2:OAA	BQ3:OAA	BQ4:OAA	BW1:Se	BW2:eg	BW3:gm	TC1:AAA	TC2:AAA	TC3:AAA	TC4:AAA	TQ1:OAAA	TQ2:OAAA	TQ3:OAAA	TQ4:OAAA	TW1:ySe	TW2:Seg	TW3:egm	TW4:gme	UC1:A	UC2:A	UC3:A	UC4:A	UC5:A	UC6:A	UP1:O	UP2:O	UP3:O	UQ1:OA	UQ2:OA	UQ3:OA	UW1:y	UW2:S	UW3:e	UW4:g	UW5:m	UW6:e
